"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BGEMNQVE","conferencePaper","2018","De Donato, Renato; Ferretti, Giuseppe; Marciano, Antonio; Palmieri, Giuseppina; Pirozzi, Donato; Scarano, Vittorio; Vicidomini, Luca","Agile production of high quality open data","Proceedings of the 19th Annual International Conference on Digital Government Research: Governance in the Data Age","978-1-4503-6526-0","","10.1145/3209281.3209352","https://doi.org/10.1145/3209281.3209352","This paper introduces an Agile Methodology to support the production of Open Data (OD) which can be internally adopted and adapted by Public Agencies (PAs) in order to make data publicly available. The methodology is iterative, incremental, evolutionary, test-driven, and collaborative. The novel idea is that PAs produce open data and, at same time, envision and anticipate possible uses and re-uses by citizens. The opportunity is that PAs will publish use cases along with Open Data as a way to engage citizens. The fit-for-use test is a specific step of the methodology in which PAs conceive possible uses of the dataset by creating a set of relevant visualisations (e.g., charts). This step mitigates some well-known barriers in the field of the OD, such as, that the data could be not accurate, not interesting, or too costly to be re-used [27]. The paper describes a platform named SPOD, based on the above agile methodology, meant to be used by PAs over their Intranet to support the collaborative process to make data publicly available. Moreover, the methodology and the SPOD have specific steps to assist PAs in checking the dataset quality through syntactic, sanity and domain-specific steps implemented through a set of heuristics. Both the methodology and the SPOD have been successfully adopted by the Council of the Campania Region in Italy to produce their open data, this experience has detailed described and reported in the paper.","2018-05-30","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-16","1–10","","","","","","","dg.o '18","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/timdavies/Zotero/storage/XU524D9S/De Donato et al_2018_Agile production of high quality open data.pdf","","","open data; open data authoring; open government","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPRLIGB3","conferencePaper","2021","de Figueiredo, Glaucia Botelho; de Faria Cordeiro, Kelli; Campos, Maria Luiza Machado","LigADOS: Interlinking Datasets in Open Data Portal Platforms on the Semantic Web","Metadata and Semantic Research","978-3-030-71903-6","","10.1007/978-3-030-71903-6_8","","The fostering of data opening has been largely motivated by sets of laws on access to information, which establish the need to make data related to governmental activities available to citizens and society in general, as well as results from business processes or scientific research, also for accountability and transparency. There are several ways of making data available to the public, from a simple website to sophisticated applications for accessing the data. In this context, one of the options is the construction of an open data portal using platforms for data repositories and catalogs. In the last few years, there has been a rapid proliferation of this type of portals, with domain or organization specific datasets being widely disseminated in platforms like CKAN. In these platforms, datasets are organized in thematic groups and described by keywords and other attributes assigned by the publisher. Usually described by metadata with poor semantics, these datasets very often remain as “data silos”, with no explicit connection or data integration mechanism, making it difficult for the users to locate and interrelate relevant data sources. In contrast, the Semantic Web focuses on a way of modeling and representing data in an easier manner to establish interrelationships between data, accompanied by richer descriptors. Based on this scenario, this paper proposes LigADOS, an approach to create interconnections between datasets considering their content and related metadata. LigADOS is based on the principles of the Semantic Web and associated linked data solutions and technologies, to support rich access strategies to RDF data published using portal platforms like CKAN and others.","2021","2021-12-08 11:37:38","2021-12-08 11:37:38","","73-84","","","","","","LigADOS","Communications in Computer and Information Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","Dataset interlinking; FAIR Data Point; Open data portals platforms; Semantic metadata interlinking","Garoufallou, Emmanouel; Ovalle-Perandones, María-Antonia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YPL5M2UV","bookSection","2020","Degbelo, Auriol; Granell, Carlos; Trilles, Sergio; Bhattacharya, Devanjan; Wissing, Jonas","Tell me how my open Data is re-used: increasing transparency through the Open City Toolkit","Open Cities| Open Data","","","","","","2020","2021-12-08 11:37:38","2021-12-08 11:37:38","","311–330","","","","","","Tell me how my open Data is re-used","","","","","Springer","","","","","","","Google Scholar","","","","/Users/timdavies/Zotero/storage/6UB7G7XA/Degbelo et al_2020_Tell me how my open Data is re-used.pdf; /Users/timdavies/Zotero/storage/LLCEA369/978-981-13-6605-5_14.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"EEJ3KVG3","journalArticle","2021","Diaz, Jérémy; Breux, Sandra","Reusers of open public data: the case of Montreal","","","","","","","2021","2021-12-08 11:37:38","2021-12-08 11:37:38","","","","","","","","Reusers of open public data","","","","","","","","","","","","Google Scholar","","Publisher: INRS Centre Urbanisation Culture Société","","/Users/timdavies/Zotero/storage/USGCQQKT/Diaz_Breux_2021_Reusers of open public data.pdf; /Users/timdavies/Zotero/storage/8SSQYLT8/11458.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8LCA679P","conferencePaper","2019","Folmer, Erwin; Beek, W.; Rietveld, Luuk; Ronzhin, S.; Geerling, R.; Haan, D. den","Enhancing the Usefulness of Open Governmental Data with Linked Data Viewing Techniques","Proceedings of the 52nd Hawaii International Conference on System Sciences","","","","https://research.utwente.nl/en/publications/enhancing-the-usefulness-of-open-governmental-data-with-linked-da","","2019","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-10-25 10:51:35","2912-2921","","","","","","","","","","","","","English","","","","","research.utwente.nl","","","","/Users/timdavies/Zotero/storage/X73MVMPI/Folmer et al_2019_Enhancing the Usefulness of Open Governmental Data with Linked Data Viewing.pdf; /Users/timdavies/Zotero/storage/DRV6JVMP/enhancing-the-usefulness-of-open-governmental-data-with-linked-da.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52nd Annual Hawaii International Conference on System Sciences, HICSS 2019","","","","","","","","","","","","","","",""
"2MB2X4LG","journalArticle","2018","Gasco-Hernandez, Mila; Gil-Garcia, Jose Ramon","The Role of Management in Open Data Initiatives in Local Governments: Opening the Organizational Black Box","JeDEM - eJournal of eDemocracy and Open Government","","2075-9517","10.29379/jedem.v10i1.495","https://jedem.org/index.php/jedem/article/view/495","Previous studies have infrequently addressed the dynamic interactions among social, technical, and organizational variables in open government data initiatives. In addition, organization level models have neglected to explain the role of management in decision-making processes about technology and data. This article contributes to addressing this gap in the literature by analyzing the complex relationships between open government data characteristics and the organizations and institutions in which they are embedded. We systematically compare the open data inception and implementation processes, as well as their main results, in three Spanish local governments (Gava and Rubi in Catalonia and Gijon in Asturias) by using a model that combines the technology enactment framework with some specific constructs and relationships from the process model of computing change. Our resulting model is able to identify and explain the significant role of management in shaping and mediating different interactions, but also acknowledges the importance of organizational level variables and the context in which the open data initiative is taking place.","2018-10-29","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-16 16:03:54","1-22","","1","10","","","The Role of Management in Open Data Initiatives in Local Governments","","","","","","","en","Copyright (c) 2018 JeDEM - eJournal of eDemocracy and Open Government","","","","jedem.org","","Number: 1","","/Users/timdavies/Zotero/storage/USUCPDPI/Gasco-Hernandez_Gil-Garcia_2018_The Role of Management in Open Data Initiatives in Local Governments.pdf","","","process model of computing change","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STD2JYFD","journalArticle","2018","Gascó-Hernández, Mila; Martin, Erika G.; Reggi, Luigi; Pyo, Sunyoung; Luna-Reyes, Luis F.","Promoting the use of open government data: Cases of training and engagement","Government Information Quarterly","","0740-624X","10.1016/j.giq.2018.01.003","https://www.sciencedirect.com/science/article/pii/S0740624X17302824","In the last decade, governments around the world have created open government data (OGD) repositories to make government data more accessible and usable by the public, mostly motivated by values such as improved government transparency, citizen collaboration and participation, and spurring innovation. The basic assumption is that once data are more discoverable, accessible, available in alternative formats, and with licensing schemes that allow free re-use, diverse stakeholders will develop innovative data applications. Despite OGD's potential transformative value, there is limited evidence for such transformation, particularly due to scarce data use, which is partly attributable to the lack of technical skills and user training. To advance the dialogue around methods to increase awareness of OGD, improve users' skills to work with OGD, and encourage data use, the paper compares and contrasts how three training interventions in Spain, Italy, and the United States have sought to increase awareness of OGD, improve users' skills and potentially engage them in their use of OGD. We report three main findings. First, introduction and analysis skills are taught in combination to encourage use of open data. Being aware of OGD and its benefits is insufficient to promote use. Second, OGD training seems to be more effective when complemented with knowledge about context and interactions with government. Finally, embedding the training interventions in the specific contexts and considering the unique characteristics, interests, and expectations of different types of users is critical to success.","2018-04-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 20:44:14","233-242","","2","35","","Government Information Quarterly","Promoting the use of open government data","Agile Government and Adaptive Governance in the Public Sector","","","","","","en","","","","","ScienceDirect","","","","","","","Citizen engagement; Information literacy; Open government data; Open government data skills; Open government data users; Training programs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CSVE4FBS","journalArticle","2020","Gebre, Engida H.; Morales, Esteban","How “accessible” is open data? Analysis of context-related information and users’ comments in open datasets","Information and Learning Sciences","","2398-5348","10.1108/ILS-08-2019-0086","https://doi.org/10.1108/ILS-08-2019-0086","Purpose This paper aims to examine the nature and sufficiency of descriptive information included in open datasets and the nature of comments and questions users write in relation to specific datasets. Open datasets are provided to facilitate civic engagement and government transparency. However, making the data available does not guarantee usage. This paper examined the nature of context-related information provided together with the datasets and identified the challenges users encounter while using the resources. Design/methodology/approach The authors extracted descriptive text provided together with (often at the top of) datasets (N = 216) and the nature of questions and comments users post in relation to the dataset. They then segmented text descriptions and user comments into “idea units” and applied open-coding with constant comparison method. This allowed them to come up with thematic issues that descriptions focus on and the challenges users encounter. Findings Results of the analysis revealed that context-related descriptions are limited and normative. Users are expected to figure out how to use the data. Analysis of user comments/questions revealed four areas of challenge they encounter: organization and accessibility of the data, clarity and completeness, usefulness and accuracy and language (spelling and grammar). Data providers can do more to address these issues. Research limitations/implications The purpose of the study is to understand the nature of open data provision and suggest ways of making open data more accessible to “non expert users”. As such, it is not focused on generalizing about open data provision in various countries as such provision may be different based on jurisdiction. Practical implications The study provides insight about ways of organizing open dataset that the resource can be accessible by the general public. It also provides suggestions about how open data providers could consider users' perspectives including providing continuous support. Originality/value Research on open data often focuses on technological, policy and political perspectives.  Arguably, this is the first study on analysis of context-related information in open-datasets. Datasets do not “speak for themselves” because they require context for analysis and interpretation. Understanding the nature of context-related information in open dataset is original idea.","2020-01-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-10-25 10:58:21","19-36","","1/2","121","","","How “accessible” is open data?","","","","","","","","","","","","Emerald Insight","","Publisher: Emerald Publishing Limited","","/Users/timdavies/Zotero/storage/622B5LYK/html.html","","","Accessibility; Civic engagement; Data and context; Data literacy; Open data; Open data usage","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ANPMVUI8","journalArticle","2020","Gebru, Timnit; Morgenstern, Jamie; Vecchione, Briana; Vaughan, Jennifer Wortman; Wallach, Hanna; Daumé III, Hal; Crawford, Kate","Datasheets for Datasets","arXiv:1803.09010 [cs]","","","","http://arxiv.org/abs/1803.09010","The machine learning community currently has no standardized process for documenting datasets, which can lead to severe consequences in high-stakes domains. To address this gap, we propose datasheets for datasets. In the electronics industry, every component, no matter how simple or complex, is accompanied with a datasheet that describes its operating characteristics, test results, recommended uses, and other information. By analogy, we propose that every dataset be accompanied with a datasheet that documents its motivation, composition, collection process, recommended uses, and so on. Datasheets for datasets will facilitate better communication between dataset creators and dataset consumers, and encourage the machine learning community to prioritize transparency and accountability.","2020-03-19","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 21:01:11","","","","","","","","","","","","","","","","","","","arXiv.org","","arXiv: 1803.09010","","/Users/timdavies/Zotero/storage/E9RTZ48U/Gebru et al_2020_Datasheets for Datasets.pdf; /Users/timdavies/Zotero/storage/FZPZDZI3/1803.html","","","Computer Science - Artificial Intelligence; Computer Science - Databases; Computer Science - Machine Learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DHX5RWB6","conferencePaper","2021","González-Mora, César; Garrigós, Irene; Mazón, Jose-Norberto; Casteleyn, Sven; Firmenich, Sergio","Open Data Accessibility Based on Voice Commands","Web Engineering","978-3-030-74296-6","","10.1007/978-3-030-74296-6_34","","Nowadays, the accessibility of open data on the Web is problematic, in particular for those data enthusiasts (non-technical users really interested in data) with visual disabilities. They generally experience accessibility barriers when browsing open data portals. Therefore, in order to improve accessibility and facilitate visually impaired users to obtain open data, we propose a Web Augmentation Framework for Accessibility for Open Data (WAFRA4OD). The proposed approach uses Web augmentation techniques and voice interaction to help users in finding relevant open data by offering them various useful comments, including a full fledged voice interaction interface. Thereby, WAFRA4OD enables visually impaired data enthusiasts to explore and interact with open data portals using voice commands, and thus improves the accessibility of open data. To show the feasibility of WAFRA4OD we demonstrate its use in a case study using the European Data Portal.","2021","2021-12-08 11:37:38","2021-12-08 11:37:38","","456-463","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","","","","Open data; Voice interaction; Web accessibility; Web augmentation","Brambilla, Marco; Chbeir, Richard; Frasincar, Flavius; Manolescu, Ioana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNLF7ARP","journalArticle","","Greenwell, Geoffrey; Kinyua, John; Klein, Thilo; Ranjan, Rajiv","Making Data Portals work for SDGs: A view on deployment, design and technology","","","","","","The adoption of the Millennium Development Goals some 15 years ago has led to a surge and proliferation of “data portals” in developing countries. The majority were put in place by international agencies for monitoring purposes as well as to help National Statistical Offices to improve the dissemination of data to a broader public. Based on an analysis of several data portals in a variety of countries, this paper offers lessons on how the deployment, design and technology considerations can be improved as we enter the implementation phase of the Sustainable Development Goals – which will lead to a further push for data portals. The paper finds that while there have been many good intentions to make these portals available to countries, when it comes to the actual implementation the outcomes are rather mixed. One particular problem is the set-up of data portals with overlapping functionalities and their lack of integration – particularly in the most aid-dependent countries. This results in (i) a duplication of workload for already resource-constrained NSOs who have to maintain several portals and update information manually, (ii) confusion for users who consult the various portals with often conflicting results, and (iii) overall high costs for demonstrably low usage of these portals. The paper concludes with recommendations for international agencies and NSOs when deploying new data portals.","","2021-12-08 11:37:38","2021-12-08 11:37:38","","32","","","","","","","","","","","","","en","","","","","Zotero","","","","/Users/timdavies/Zotero/storage/LH2Z2ISR/Greenwell et al_Making Data Portals work for SDGs.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JUUZUX7V","conferencePaper","2018","Heil, Erich; Neumaier, Sebastian","reboting.com: Towards Geo-search and Visualization of Austrian Open Data","ESWC 2018: The Semantic Web: ESWC 2018 Satellite Events","","","","http://link.springer.com/10.1007/978-3-319-98192-5_20","Data portals mainly publish semi-structured, tabular formats which lack semantic descriptions of geo-entities and therefore, do not allow any exploration and automated visualization of these datasets. Herein, we present a framework to add geo-semantic labels, based on a constructed geo-entity knowledge graph, and a user interface to query and automatically visualize the resources from the Austrian data portals. The web-application is available at https://reboting.com/.","2018","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 16:42:51","","","","","","","reboting.com","","","","","","","en","","","","","DOI.org (Crossref)","","Series Title: Lecture Notes in Computer Science DOI: 10.1007/978-3-319-98192-5_20","","/Users/timdavies/Zotero/storage/A7THAHK3/Heil_Neumaier_2018_reboting.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","European Semantic Web Conference","","","","","","","","","","","","","","",""
"EUX4WHYI","bookSection","2017","Hogan, Michael; Ojo, Adegboyega; Harney, Owen; Ruijer, Erna; Meijer, Albert; Andriessen, Jerry; Pardijs, Mirjam; Boscolo, Paolo; Palmisano, Elena; Satta, Matteo; Groff, Jonathan; Baker, Michael; Détienne, Françoise; Porwol, Lukasz; Scarano, Vittorio; Malandrino, Delfina","Governance, Transparency and the Collaborative Design of Open Data Collaboration Platforms: Understanding Barriers, Options, and Needs","Government 3.0 – Next Generation Government Technology Infrastructure and Services: Roadmaps, Enabling Technologies & Challenges","978-3-319-63743-3","","","https://doi.org/10.1007/978-3-319-63743-3_12","Developments in open data have prompted a range of proposals and innovations in the domain of governance and public administration. Within the democratic tradition, transparency is seen as a fundamental element of democratic governance. While the use of open government data has the potential to enhance transparency and trust in government, realising any ideal of transparent democratic governance implies responding to a range of sociotechnical design challenges. In order to address these design challenges it is essential to adopt an interdisciplinary and stakeholder-engaged approach to research and innovation. In the current study, we describe a contextualist approach to the design of an open data collaboration platform in the context of an EU innovation project, focused on enhancing transparency and collaboration between citizens and public administrators through the use of open government data. We report on a collective intelligence scenario-based design process that has shaped the development of open data platform requirements and ongoing system engineering and evaluation work. Stakeholders across five pilot sites identified barriers to accessing, understanding, and using open data, and options to overcome these barriers across three broad categories: government and organisational issues; technical, data, and resource issues; and training and engagement issues. Stakeholders also expressed a broad variety of user needs across three domains: information needs; social-collaborative needs; and understandability, usability, and decision-making needs. Similarities and differences across sites are highlighted along with implications for open data platform design.","2017","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-10-25 13:03:12","299-332","","","","","","Governance, Transparency and the Collaborative Design of Open Data Collaboration Platforms","Public Administration and Information Technology","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","DOI: 10.1007/978-3-319-63743-3_12","","","","","Citizens; Collaboration; Governance; Open Data; Transparency","Ojo, Adegboyega; Millard, Jeremy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RV5DRAL3","journalArticle","2018","Holland, Sarah; Hosny, Ahmed; Newman, Sarah; Joseph, Joshua; Chmielinski, Kasia","The Dataset Nutrition Label: A Framework To Drive Higher Data Quality Standards","arXiv:1805.03677 [cs]","","","","http://arxiv.org/abs/1805.03677","Artificial intelligence (AI) systems built on incomplete or biased data will often exhibit problematic outcomes. Current methods of data analysis, particularly before model development, are costly and not standardized. The Dataset Nutrition Label (the Label) is a diagnostic framework that lowers the barrier to standardized data analysis by providing a distilled yet comprehensive overview of dataset ""ingredients"" before AI model development. Building a Label that can be applied across domains and data types requires that the framework itself be flexible and adaptable; as such, the Label is comprised of diverse qualitative and quantitative modules generated through multiple statistical and probabilistic modelling backends, but displayed in a standardized format. To demonstrate and advance this concept, we generated and published an open source prototype with seven sample modules on the ProPublica Dollars for Docs dataset. The benefits of the Label are manyfold. For data specialists, the Label will drive more robust data analysis practices, provide an efficient way to select the best dataset for their purposes, and increase the overall quality of AI models as a result of more robust training datasets and the ability to check for issues at the time of model development. For those building and publishing datasets, the Label creates an expectation of explanation, which will drive better data collection practices. We also explore the limitations of the Label, including the challenges of generalizing across diverse datasets, and the risk of using ""ground truth"" data as a comparison dataset. We discuss ways to move forward given the limitations identified. Lastly, we lay out future directions for the Dataset Nutrition Label project, including research and public policy agendas to further advance consideration of the concept.","2018-05-09","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 21:03:45","","","","","","","The Dataset Nutrition Label","","","","","","","","","","","","arXiv.org","","arXiv: 1805.03677","","/Users/timdavies/Zotero/storage/XRUF6ZBW/Holland et al_2018_The Dataset Nutrition Label.pdf; /Users/timdavies/Zotero/storage/83PXPJSN/1805.html","","","Computer Science - Computers and Society; Computer Science - Databases","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DR4VRF4B","conferencePaper","2021","Hsu, Joy; Ravichandran, Ramya; Zhang, Edwin; Keung, Christine","Open Data Standard and Analysis Framework: Towards Response Equity in Local Governments","Equity and Access in Algorithms, Mechanisms, and Optimization","978-1-4503-8553-4","","10.1145/3465416.3483290","https://doi.org/10.1145/3465416.3483290","There is an increasing need for open data in governments and systems to analyze equity at large scale. Local governments often lack the necessary technical tools to identify and tackle inequities in their communities. Moreover, these tools may not generalize across departments and cities nor be accessible to the public. To this end, we propose a system that facilitates centralized analyses of publicly available government datasets through 1) a US Census-linked API, 2) an equity analysis playbook, and 3) an open data standard to regulate data intake and support equitable policymaking.","2021-10-05","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-26","1–8","","","","","","Open Data Standard and Analysis Framework","EAAMO '21","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/timdavies/Zotero/storage/6WBKFQ3T/Hsu et al_2021_Open Data Standard and Analysis Framework.pdf","","","equity analysis; local government data; open data standard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UCZLWHZL","journalArticle","2019","Kacprzak, Emilia; Koesten, Laura; Ibáñez, Luis-Daniel; Blount, Tom; Tennison, Jeni; Simperl, Elena","Characterising dataset search—An analysis of search logs and data requests","Journal of Web Semantics","","1570-8268","10.1016/j.websem.2018.11.003","https://www.sciencedirect.com/science/article/pii/S1570826818300556","Large amounts of data are becoming increasingly available online. In order to benefit from it we need tools to retrieve the most relevant datasets that match ones data needs. Several vocabularies have been developed to describe datasets in order to increase their discoverability, but for data publishers is costly to cumbersome to annotate them using all, leading to the question of what properties are more important. In this work we contribute with a systematic study of the patterns and specific attributes that data consumers use to search for data and how it compares with general web search. We performed a query log analysis based on logs from four national open data portals and conducted a qualitative analysis of user data requests for requests issued to one of them. Search queries issued on data portals differ from those issued to web search engines in their length, topic, and structure. Based on our findings we hypothesise that portals search functionalities are currently used in an exploratory manner, rather than to retrieve a specific resource. In our study of data requests we found that geospatial and temporal attributes, as well as information on the required granularity of the data are the most common features. The findings of both analyses suggest that these features are of higher importance in dataset retrieval in contrast to general web search, suggesting that efforts of dataset publishers should focus on generating dataset descriptions including them.","2019-03-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 20:55:06","37-55","","","55","","Journal of Web Semantics","","","","","","","","en","","","","","ScienceDirect","","","","/Users/timdavies/Zotero/storage/R6DILX7A/Kacprzak et al_2019_Characterising dataset search—An analysis of search logs and data requests.pdf","","","Dataset search; Search logs; Vertical search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XDZIHAB8","journalArticle","2018","Klein, Rodrigo Hickmann; Klein, Deisy Cristina Barbiero; Luciano, Edimara Mezzomo","Identificação de mecanismos para a ampliação da transparência em portais de dados abertos: uma análise no contexto brasileiro","Cadernos EBAPE.BR","","1679-3951","10.1590/1679-395173241","http://www.scielo.br/j/cebape/a/SbSdqx7HXRF4WKVTTRgCS4m/?lang=pt","Resumo Dados abertos governamentais (DAG) são aqueles disponibilizados de modo gratuito por entes governamentais e podem ser livremente utilizados, reutilizados e redistribuídos por qualquer pessoa. Os portais de DAG precisam atender a uma série de mecanismos para que a descoberta, a extração e o aproveitamento dos dados possam ser realizados de forma efetiva pela sociedade. O foco desta pesquisa abrange a identificação dos mecanismos que ampliam a transparência em portais de DAG brasileiros. Por intermédio da literatura científica e da coleta de dados com especialistas e usuários, foram propostos 18 mecanismos que visam a ampliar o grau de transparência em portais de DAG. Os resultados demonstraram que a evolução do uso e das pesquisas sobre dados abertos possibilitaram agregar os mecanismos de autenticidade, irrefutabilidade, integridade, conformidade, amplitude, confiabilidade, compreensibilidade, participação cidadã, integridade referencial e dados conectados aos 8 mecanismos originais definidos pelo Open Government Working Group (OGWG). A classificação desses mecanismos e a definição de identificadores possibilitaram avaliar o principal portal de DAG brasileiro: o <http://dados.gov.br>. Os critérios e a facilidade de reaplicação futura possibilitam a comparação com os demais portais nacionais, servindo como um benchmarking para os gestores públicos, as partes interessadas e os pesquisadores da área.","2018-12","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-10-25 13:01:20","692-715","","","16","","Cad. EBAPE.BR","Identificação de mecanismos para a ampliação da transparência em portais de dados abertos","","","","","","","pt","","","","","SciELO","","Publisher: Fundação Getulio Vargas, Escola Brasileira de Administração Pública e de Empresas","","/Users/timdavies/Zotero/storage/MT7LYN5T/SbSdqx7HXRF4WKVTTRgCS4m.html; /Users/timdavies/Zotero/storage/XEJH28QA/Klein et al_2018_Identificação de mecanismos para a ampliação da transparência em portais de.pdf","","","Dado aberto governamental; Portais de dados abertos governamentais; Transparência","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WRTS6ACU","journalArticle","2020","Koesten, Laura; Simperl, Elena; Blount, Tom; Kacprzak, Emilia; Tennison, Jeni","Everything you always wanted to know about a dataset: Studies in data summarisation","International Journal of Human-Computer Studies","","1071-5819","10.1016/j.ijhcs.2019.10.004","https://www.sciencedirect.com/science/article/pii/S1071581918306153","Summarising data as text helps people make sense of it. It also improves data discovery, as search algorithms can match this text against keyword queries. In this paper, we explore the characteristics of text summaries of data in order to understand how meaningful summaries look like. We present two complementary studies: a data-search diary study with 69 students, which offers insight into the information needs of people searching for data; and a summarisation study, with a lab and a crowdsourcing component with overall 80 data-literate participants, who produced summaries for 25 datasets. In each study we carried out a qualitative analysis to identify key themes and commonly mentioned dataset attributes, which people consider when searching and making sense of data. The results helped us design a template to create more meaningful textual representations of data, alongside guidelines for improving data-search experience overall.","2020-03-01","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15 20:47:50","102367","","","135","","International Journal of Human-Computer Studies","Everything you always wanted to know about a dataset","","","","","","","en","","","","","ScienceDirect","","","","/Users/timdavies/Zotero/storage/LCBXKYU5/Koesten et al_2020_Everything you always wanted to know about a dataset.pdf","","","Data search; Data sensemaking; Data summarisation; Human data interaction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G62GEDHR","conferencePaper","2016","Kubler, Sylvain; Robert, Jérémy; Le Traon, Yves; Umbrich, Jürgen; Neumaier, Sebastian","Open Data Portal Quality Comparison using AHP","Proceedings of the 17th International Digital Government Research Conference on Digital Government Research","978-1-4503-4339-8","","10.1145/2912160.2912167","https://doi.org/10.1145/2912160.2912167","During recent years, more and more Open Data becomes available and used as part of the Open Data movement. However, there are reported issues with the quality of the metadata in data portals and the data itself. This is a serious risk that could disrupt the Open Data project, as well as e-government initiatives since the data quality needs to be managed to guarantee the reliability of e-government to the public. First quality assessment frameworks emerge to evaluate the quality for a given dataset or portal along various dimensions (e.g., information completeness). Nonetheless, a common problem with such frameworks is to provide meaningful ranking mechanisms that are able to integrate several quality dimensions and user preferences (e.g., a portal provider is likely to have different quality preferences than a portal consumer). To address this multi-criteria decision making problem, our research work applies AHP (Analytic Hierarchy Process), which compares 146 active Open Data portals across 44 countries, powered by the CKAN software.","2016-06-08","2021-12-08 11:37:38","2021-12-08 11:37:38","2021-11-15","397–407","","","","","","","dg.o '16","","","","Association for Computing Machinery","New York, NY, USA","","","","","","ACM Digital Library","","","","/Users/timdavies/Zotero/storage/FHUU5TXA/Kubler et al_2016_Open Data Portal Quality Comparison using AHP.pdf","","","Analytic Hierarchy Process; Data Quality; E-government; Multi-Criteria Decision Making; Open Data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
